i   ík
i’d ík`
i’m íks
i’ve    íkv
you jïj
you’d   jïj`
you’re  jïjks
you’ve  jïjkv
your    jïjn
me  méj
my    míj
mine    míkn
he  éj
he's    éjs
him ém
his émen
she séj
she's   séjs
her ár
hers    árn
the `
they    déj
their   déjn
they're déjs
them    dém
it  í`
it's    í`s
its í`n
father  pá`jé`
dad pá`jé`
mother  móé`jé`
mom móé`jé`
cairn   cäírn
pile    cäírn
monument    cäírn
bairn   bäírn
baby    bäírn
newborn bäírn
cannae  cání`
can't   cání`
dunnae  dúní`
don't   dúní`
wilnae  wíní`
won't   wíní`
region  nálón
country nál
city    nálké
town    nálké`
in  ín
out üt
sun sól
moon    món
station sná`
water   kúí`
watered kúí``
swim    kúí`én
swam    kúí`én`
seaman  kúí`n
yes já`
no  ní`
for vór
after   avór
before  bvór
and ét
&   ét
or  x
hello   vásák
goodbye vásák
hi  vás
bye vás
man vóé
boy Vóéké
men vóén
woman   váí
girm    váíké
women   váín
groundling  vár
groundlings várn
childling   várké`
computer    bínár
PC  bínár
programming bínárén
programmed  bínár`
program bínár`é`
phone   bínárké`
telephone   bínárké`
mobile   bínárké`
fly s`álár
flying  s`álárén
flew    s`álár`
drone   s`álárké`
airship s`álárón
chopper s`álárón
helicopter  s`álárón
with    mé`
from    ván
to  nár
in  ín
behind  ác`ér
besides nás`
beside  nás`
next    nás`
down    béné`
downstairs  béné`
above   bóv
up  bóv
upstairs    bóv
below   óndér
at  óp
on  óp
between `úsén
middle  `mídén
about   óver
over    óver
at  bïj
near    bïj
inside  `érín
outside `érüt
against `égén
around  rónd
since   sínds
without zóndér
before  bvór
after   ná
aha ágár
ahem    ágém
ahoy    ávóír
alas    zódát
arg mórg
aw  wáf
bam wám
bingo   öflá`
bah    még
meh    még
blah    méf
boo nág
bravo   wámgár
brrr    brégég
dang    nágjïj
duh pláf
eh  jïég
uh  jïég
um  jïég
huh jïégu`
gee náf`
golly   ófláwám
gosh    ófláwám
heh gáf`
hey jïjo`
hmm mó`
lol gáf`
wtf nágwám
oh  ó`
oops    ó`s
ow  óflá
oof  óflá
ouch    nágmórg
phew    sóf`lá
pow gám
shh ní`í`í`
shoo    `ér`é`é`
ta  grá`
thanks  grá`s
thank   grá`
yeah    j`
yo  jï`
yuck nágmórg
pff pláf
woah sömwám
wow sömwám
